__label__like , 逃狱 好看 片子
__label__nlike , 信念
__label__like , 曙光 啤酒
__label__like , 烧脑 第二次 男主人 厉害
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 震撼 自由人 信念 柳暗花明又一村 喜欢 镜头 监狱长 石头 海报
__label__like , 努力 样子
__label__nlike , 生活 五百
__label__nlike , 解救
__label__like , 人生 必看
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 越狱 好多 斯蒂芬 天才
__label__like , 
__label__like , 只能 经典 形容
__label__nlike , 地方 落下 泪来
__label__nlike , 喜欢 救赎
__label__like , 闪闪发亮
__label__like , 一场 不甘 自我 救赎
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 希望 东西
__label__like , acer 第一次 熬夜 电影
__label__nlike , 自由 高于 生命
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 第一页 第一个 看过 怕人 说装
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 经典
__label__like , 断断续续 看过 片段
__label__like , 精神 吗啡
__label__like , 男人 电影
__label__like , 监狱 法律 制度 照妖镜
__label__like , 值得 电影 看过
__label__like , 言语 表达 希望 招手
__label__like , 很棒
__label__like , 生活 希望
__label__like , 希望 面对 困难 勇气
__label__like , 电影 褪色 实在 电影 梦里 不知 身是
__label__like , 剧透地 无感
__label__like , 何谓 救赎 何谓 自由 斯蒂芬 金写 故事 透着 人性 光辉
__label__nlike , 一般般
__label__like , 发现自己 真的 回看 经典 女主 经典 自由 希望 美好 词汇 迂腐 体会 两个 一年 提起 我会 鄙夷 两个 词太 虚无缥缈 假大空 提起 我会 自由 希望
__label__nlike , 好评 不差
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , 男人 触动
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 不错 片子 雄踞 imdb 第一位 真的 超越 质疑 ing
__label__like , 喜欢
__label__nlike , 自作聪明
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 触动 人心 经典
__label__nlike , 一般般
__label__like , 改变 社会 努力 这部 电影 这句 bullshit 这是 制度 对抗 拥有 强大 集权 机构 选择 顺从 同化 滴出来 一把 圣经 锤头 二十年 给予 致命 一击
__label__like , 每次 开心 悲伤 看一遍
__label__nlike , 传闻中 好看
__label__like , 自由 渴望 对生 信念 人生 变得 意义
__label__like , 恐惧 沦为 囚犯 希望 重获 自由
__label__nlike , 好评 不差
__label__like , 自由
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 经典
__label__like , 放弃 希望
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 推上 神坛 电影 莫名 恐惧 雪藏 五六年 发现 雄踞 各类 榜首 至多 称作 经典 称作 Fear Can Hold You Prisoner Hope Can Set You Free Hope good thing
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 确实 经典
__label__like , 看过 电影
__label__nlike , 经典 境界 提升
__label__nlike , 
__label__like , 神化 电影 四星 足以
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , 留着 一部 太好了
__label__like , 不多
__label__like , 想要 Free Man
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 喜欢 摩根 弗里
__label__like , 值得 几遍
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 好片 解释
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 经典 经典
__label__like , 励志
__label__nlike , 希望 事情
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 名字
__label__nlike , 传闻中 好看
__label__nlike , 
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 名字
__label__nlike , 地方 落下 泪来
__label__nlike , 
__label__like , 一遍
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 事情
__label__like , 基督山 伯爵 教辅
__label__like , 疑惑 这部 肖申克 救赎 这是 一部 自我 救赎 故事 心存 希望 奇迹
__label__like , 真实 终究 掩饰
__label__like , 
__label__like , faith hope charity
__label__like , 逃出来 自杀 一幕 特别 感觉
__label__like , 说好
__label__like , 主旋律
__label__nlike , 希望 事情 希望
__label__like , 小说 剧透后 电影 情节 带来 触动 振奋人心 真心 电影 语言 叙事 高超
__label__nlike , Your friend Andy
__label__like , 这是 一部 希望 经典之作 监狱 关不住 希望 主人 公安 迪遭 误解 身陷囹圄 靠着 内心 无比 坚定 无尽 等待 利用 智慧 希望 一把 小铁锤 救赎 生命 救赎 监狱 希望 种子 播种 安迪 英雄 强者 安迪 瑞德 缘份 友情 打动 人心 值得 一看再看
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 希望
__label__like , 喜剧 结尾
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 震撼 心灵 经典
__label__like , 记得 大地 碟子 刺激 1995
__label__like , 提醒 忽视 片中 人物 运气 成分
__label__nlike , 事情
__label__like , 完美 结局 依然 隐隐 不安 算不算 缺乏 安全感
__label__like , 听说 有人 星期 看一遍
__label__like , 希望
__label__like , 只能 精彩 评价
__label__like , 越狱 看太多
__label__nlike , 自作聪明
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 大智大勇
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__like , Some birds meant caged Their feathers bright
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 希望 东西
__label__like , 经典 经典
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 结尾 一厢情愿 经典 上帝 那句话
__label__like , 肮脏 丑陋 世界 圣经 锤子 人性 温柔
__label__like , 经典
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 经典 复制
__label__like , favourite
__label__nlike , 名字
__label__nlike , 好评 不差
__label__like , 人会 喜欢 电影
__label__like , 爱死 这部 电影 不愧 不朽 之作 我要 几遍
__label__nlike , hope good thing
__label__like , 希望 真好 结局 感动 特别 积极向上 绝望 拿来 男猪 IQ EQ 博学 毅力 正面 磁场 强大 完美 男人
__label__like , IMDB 得分 第一 豆瓣 第一 万人 77% 五星
__label__nlike , 好评 不差
__label__nlike , 事情
__label__like , 这是 证明 活着 境界
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 好评 不差
__label__like , 经典
__label__like , 真的 一任 英语老师 看过
__label__nlike , 
__label__like , 经典 放弃 希望 带来 危险
__label__like , 不输给 阿甘正传 片子 越狱
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 面前 卑微 保持沉默
__label__nlike , 地方 落下 泪来
__label__like , 喜欢 电影 慢慢 体味
__label__like , 深思 
 希望 平息
__label__like , 第二遍 第一次 精彩
__label__like , 灰黑 尘世 指引 人性 之塔灯
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 相比 飞跃 疯人院 好多
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 清醒 头脑 智慧 充沛 体力 信念 适时 适度 低头 成功
__label__like , 自由 令人 向往
__label__nlike , Your friend Andy
__label__like , 同学 推荐 勉强 只得 沉闷 全是 分钟 伏笔 太精彩
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 片子 演员 剧情 发展 后期 剪辑 流畅 看得 心声 希望 好事 好事 永远 死亡 试着 飞翔
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 自由
__label__like , 这俩 海边 一口 PS 电影 错过 中饭 电话
__label__nlike , 经典 复制
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 书写
__label__like , 身处 低谷 向往 自由
__label__like , 会到 这部 电影
__label__like , 男人
__label__nlike , 事情
__label__nlike , 名字
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 肖申克中 生存 体制 当今社会 体制 痛改前非 一次次 投入 黑暗 之中 当权者 干着 肮脏 勾当 却会 公众 面前 宣讲 拯救 之道 性格 棱角 思想 火花 体制 习惯 逆来顺受 平安 生存
__label__like , 原著 小说吧
__label__like , 毅力
__label__like , 学会 社会 学到 知识
__label__nlike , 自作聪明
__label__nlike , 好片 解释
__label__nlike , 男人 触动
__label__nlike , 看过 几个 演员 厉害
__label__like , 牢底
__label__like , 阻挡 内在 人格 苏醒
__label__like , 名不虚传 
 编剧 构思 可谓 神来 
 励志 电影 
 我杯
__label__like , 不错
__label__like , 希望 力量
__label__like , 没话说 圣经 电影
__label__nlike , 喜欢 救赎
__label__nlike , 希望 事情
__label__like , 经典 没什么 可说
__label__nlike , 信念
__label__like , 早就 影片 推到 意犹未尽 感觉 从始至终 不停 思考 说些 几遍 联想 三部 电影 无声 朗读 过往 演讲 幸福 敲门 面对 人生 种种 不快 希望 会成
__label__like , 恐惧 沦为 囚犯 希望 重获 自由
__label__like , 冷静 理性 希望
__label__like , 不用说
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__like , 自由
__label__nlike , 一般般
__label__like , 铺垫
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__nlike , 确实 经典
__label__like , 等待 爆发
__label__like , 小子 太牛 两个 足球场 大小 下水管
__label__nlike , 名字
__label__like , 主人公 不动声色 成功 越狱 佩服 智慧 勇气 果敢
__label__like , 感觉 明白
__label__like , 经典 毋庸置疑
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 永远 放弃 希望 拯救
__label__nlike , 信念
__label__like , 激动人心
__label__nlike , 好片 解释
__label__like , 经典 经典
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 救赎 空间 自由 灵魂 hope good thing thing
__label__like , 自由 渴望 表现 逃不过 内心深处 渴望 发现 冤枉 纠结
__label__like , 希望 自由
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 经典 境界 提升
__label__nlike , 确实 经典
__label__like , 主人公 知识 适合 越狱 值得 赞叹
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 太棒了
__label__like , 很棒 一部 电影 一部 女主 女配 电影 有时候 想想 国产片 走不出 国门 广电 责任 不许 不许 类型 电影 喜欢 类型 越狱 题材 美剧 越狱 第一部 美剧 真的 好好看 国家 电影 电视剧 类型 题材 万恶 广电
__label__nlike , 希望 事情 希望
__label__like , 注定 关不住
__label__like , Hope good thing
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__nlike , 事情
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 越獄 原始
__label__nlike , 一般般
__label__nlike , 生活 五百
__label__nlike , 
__label__like , 高智商
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 下水道 逃生 震撼 求生 意志 自由 向往 有多强 这部 电影 答案
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 
__label__like , 经典 经典
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 自作聪明
__label__like , 经典
__label__like , 生活 希望 能屈能伸
__label__like , Some birds aren meant caged Their feathers bright
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 好片 解释
__label__nlike , 
__label__nlike , 
__label__like , 女人 脑残 男人
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 希望 东西
__label__like , 听说 国际 公认 排名 第一 电影
__label__like , 逃脱 社会 牢笼
__label__like , 教导 知识 力量 http movie douban review 3583417
__label__like , 自救 只能 自救
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , http www bighead cn
__label__nlike , 
__label__nlike , 男人 触动
__label__like , 强大 力场 大海
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 事情
__label__like , 机会 电影
__label__like , 不用说 刺激 1995 悲剧
__label__like , 电影
__label__nlike , 一般般
__label__like , 希望 禁锢 不住 飞鸟
__label__like , 希望 强有力 注释
__label__like , 完后 真的 男主 监狱 自由 那种 渴望 震撼
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__nlike , 事情
__label__nlike , 经典 境界 提升
__label__nlike , 自由 高于 生命
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 经典 经典
__label__like , 经典 解释
__label__like , 
__label__nlike , 男人 触动
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 经典 值得 电影
__label__nlike , 自作聪明
__label__like , 好多 推荐 不错 励志 大片
__label__nlike , 大智大勇
__label__like , 超级 超级 经典
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 好片 解释
__label__like , 满分 真的 对不起
__label__like , 电影
__label__nlike , 男人 触动
__label__like , 经典 必看
__label__nlike , 希望 事情
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 三十年
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 否认 本片 优秀 本片 名过其实 电影
__label__like , 只能 膜拜
__label__nlike , Your friend Andy
__label__like , 希望 永不 破灭
__label__like , 策划 私奔
__label__like , 无需 啰嗦
__label__like , 片子
__label__like , 史上 作品 模仿 超越
__label__like , 坚强 坚定 反抗 友情 内敛 深沉 泰山 崩于 面不改色
__label__like , 喜欢 聪明人
__label__like , 适合 男人
__label__like , 此种 题材 胃口
__label__like , 救赎
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 知识分子 作对 希望
__label__nlike , 事情
__label__like , 不用 肖申克 心中 完人 美好
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 考研 童鞋 必看
__label__like , 看过 励志 电影 真的 经典
__label__like , 神奇
__label__like , 实力 制作 真的 很棒
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 男人 触动
__label__like , 经典
__label__nlike , 生活 五百
__label__like , 永恒 经典 电影 希望 永远 放弃 希望 
 电影 讲述 越狱 故事 生命 症结 人生 越狱 忍受
__label__like , 不用 输给 阿甘
__label__nlike , hope good thing
__label__nlike , 信念
__label__nlike , 国产片 红歌
__label__nlike , 自作聪明
__label__nlike , 大智大勇
__label__like , 经典 经典 爱上 汤姆 汉克斯 年老 大叔
__label__like , 看过 这部 电影 相当于 看过 电影
__label__nlike , 好片 解释
__label__nlike , 希望 事情
__label__like , 一把 勺子 真的假
__label__nlike , 希望 东西
__label__nlike , 希望 事情 希望
__label__like , 希望 自由 贖罪
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 传闻中 好看
__label__nlike , 事情
__label__like , 越狱 感觉 改编自
__label__like , Andy 长长的 臭水沟
__label__like , 必看
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 不错
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 自由
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , Hope good thing
__label__nlike , 希望 东西
__label__nlike , 生活 五百
__label__like , 毅力 命运
__label__nlike , 生活 五百
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 希望 东西
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 這麼靈 片子 錯過 這麼 多年 不學 一門 技術 別進 監獄
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 地方 落下 泪来
__label__like , 开枪 五星 挑衅
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 一部 爱情 美女 电影 光芒四射
__label__like , 那片海 美的 晕眩
__label__like , 经典 电影 多年 记忆 执着 希冀 不懈 追逐 心灵 救赎 灵魂 洗礼
__label__like , 好看
__label__nlike , 喜欢 救赎
__label__like , 恐惧 沦为 囚犯 希望 重获 自由
__label__like , 经典
__label__like , 电影 两个 囹圄 之中 几十年 拥抱 思考 自由 时间 庆幸 悲哀 很棒 迷茫 电影 看一看 好处 经典
__label__nlike , 国产片 红歌
__label__like , 天知道 第几次 重看 可贵 地方 多层次 嵌套 主题 一种 内在 timeless 品质 情感 表述 观众 身处 时代 何种 背景 抱持 心理 状态 不由自主 relate 角色 某段 情节
__label__like , 自由 永远 关不住
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 我家 男人 经典之作
__label__like , 永远
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , 故事 顺畅 小说
__label__nlike , 解救
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 喜欢 救赎
__label__like , 特别 震撼
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , Your friend Andy
__label__like , 评价
__label__nlike , 希望 事情
__label__nlike , 经典 境界 提升
__label__like , Busy living dying
__label__like , 好看 体制 片子 少有 乐观
__label__like , Brooks 无数 长城 模仿
__label__nlike , 
__label__like , institutionalization Hope good thing
__label__like , 越狱 原版 经典
__label__nlike , 一般般
__label__nlike , 喜欢 救赎
__label__like , 肖申克 好看 好看
__label__like , 男人 坚毅 必看
__label__like , 评价
__label__like , 希望 绝望 放弃 信念 是非 善恶 之虫 终究 渺小 希望 变得
__label__nlike , 
__label__like , 娓娓道来 叙事曲
__label__like , 没什么 永恒
__label__like , 喜爱 超过 阿甘
__label__nlike , 传闻中 好看
__label__like , 越狱 他哥 评论 捧得 太高 不予置评
__label__like , 这部 电影 确实 深度 摩根 弗里 表演 平常人 吃饭 日常
__label__like , 高智商 命运
__label__like , 犯人
__label__nlike , 生活 五百
__label__like , 苦难 人生 必看 经典
__label__like , 经典
__label__like , 好片 神片 IMDB NO.1 GODFATHER 多好片
__label__like , 最杯 结尾 片子
__label__nlike , 国产片 红歌
__label__nlike , 生活 五百
__label__like , 结局 美好 过头
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 经典 境界 提升
__label__like , 意志力 坚定 做成
__label__like , Zihuatanejo
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , IMBD No.1
__label__like , 第一次 看得 太早 第二次 太晚
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 
__label__like , 惟坐 而待亡 孰与
__label__nlike , 好片 解释
__label__nlike , 经典 复制
__label__like , 信念
__label__like , 放弃 希望
__label__nlike , 传闻中 好看
__label__nlike , 明明 勇敢 心式 狗血
__label__like , 超级 超级 经典 不看 人生 圆满
__label__nlike , 地方 落下 泪来
__label__nlike , 自由 高于 生命
__label__nlike , 经典 境界 提升
__label__like , 自由 美好
__label__nlike , 喜欢 救赎
__label__like , 久闻其名 硬盘 鸟儿 笼子 关不住 光芒 迟早会 自由 自由 人才 重获 自由 一刹那 张开 双臂 仰天 大啸
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , It cool movie Cool cool cool
__label__nlike , 希望 东西
__label__like , cctv6
__label__like , 平淡无奇 结局 出乎意料 看后 回味无穷
__label__like , 励志
__label__nlike , 一般般
__label__like , 人看 后会 失望
__label__nlike , 解救
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 地方 落下 泪来
__label__like , Hope good thing
__label__like , 也许 电影 第一名 是因为 年龄段 感受 说实话 剧情 希望 看会 明白 人生 意义
__label__like , 五星
__label__like , 最初 震撼 年代久远
__label__nlike , 大智大勇
__label__like , 很难 一部 电影 能比 肖申克 救赎 更好 诠释 梦想 救赎 两个 关联 真谛 电影 予人 带来 心理 震撼 洗涤 深刻 主角 安迪 男二 黑人 瑞德 主辅 相成 两条 脉络 营造 关乎 追梦 自由 心灵 救赎 诠释 生活 梦想 失败 能心 梦想 便定 希望 救赎
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 自作聪明
__label__like , 自由 希望 信念 友谊 诠释 完美
__label__like , 不说 
 没得说的
__label__like , 男人 奋斗史
__label__like , 高智商 人才
__label__nlike , 解救
__label__nlike , 
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 弗里 老头 眼神
__label__nlike , 自由 高于 生命
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , 看过
__label__nlike , 解救
__label__nlike , 名字
__label__like , 无冕之王
__label__nlike , 
__label__nlike , 名字
__label__like , 信念 救赎
__label__like , 可怜 老爷爷
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 确实 经典
__label__nlike , 
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 说实话 震撼 电影 足够
__label__like , This power hope give
__label__like , 这部 电影 两张 碟版 vcd 情节 过目不忘 回味 算是 神作
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 第二遍
__label__like , 人生 必看 影片 信念 支撑 自由
__label__like , 经典
__label__nlike , 传闻中 好看
__label__like , 收藏 之内
__label__nlike , 经典 复制
__label__like , 电影 极致
__label__like , 肖申克 救赎 面对 黑狱 瑞德 这堵 高墙 仇视 反对 依附 离不开 制度化 身处 社会
__label__like , 绝境 放弃 回想 激励
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , hope good thing
__label__like , 看不惯 高于 生死 论调 高于 生死 东西 信仰 尊严 艺术 高于 生死 可惜 核心 价值观 好死不如 活着 人种 明白 道理
__label__like , 越狱
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , 
__label__like , 生日 这天 电影 预兆 暗示 励志 人物 塑造 丰满 老头 感慨 想想 五十年 与世隔绝 面对 世界 感到恐惧 像安迪 关不住 想来 穿越 可怕 一件 影片 不好意思 生硬 基情
__label__nlike , 
__label__like , Fear hold prisoner Hope set free
__label__like , 高中 收藏 DVD 深刻 影片 老摩 表演 精彩
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 好评 不差
__label__nlike , 名字
__label__like , 碟版 不知 触动
__label__like , pb
__label__like , 男人
__label__like , 
__label__nlike , 喜欢 救赎
__label__like , 我弟 半夜 震撼 好久好久
__label__like , 满分 斯蒂文
__label__like , 容错过 经典电影
__label__like , 神作 意义 深远
__label__nlike , 喜欢 救赎
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 
__label__like , 明白 评价 好看
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 明白
__label__nlike , 
__label__like , 盛名 深深地 我会 不错
__label__like , 看才 明白 希望 在生活中
__label__nlike , 看过 几个 演员 厉害
__label__like , 必看 经典影片 看过
__label__like , hope good thing
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 解救
__label__nlike , 
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__nlike , 希望 事情
__label__like , 本来 四星 剽窃 东木 经典作品 减一星
__label__nlike , 自作聪明
__label__like , 最让人 震撼 逃出 生天 之时 已过 策划 无人知晓
__label__like , 连花妈 好看 好看
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__like , Prefect
__label__like , 希望 高深 意义 一部 片子 多年 终于
__label__like , 一场 救赎
__label__like , 有十星 老布 绝望 老死 监狱 到安迪 陷害 臭水 通道 爬行 500 自由 体制 瑞德 假释 迷茫 恐惧 到位 遵从 朋友 委托 终于 见到 安迪 一切都在 告诉 生存 死去 希望 东西
__label__nlike , 希望 事情
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 晚看 十几年 经典
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 原作 结局 喜欢 电影 结局
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 懦怯 囚禁 灵魂 希望 感受 自由
__label__nlike , 经典 境界 提升
__label__like , 电影 爱上 电影
__label__nlike , 传闻中 好看
__label__nlike , 生活 五百
__label__like , 
__label__like , Freedom
__label__nlike , 确实 经典
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 不知 说些 生长 最最 喜欢 电影 喜欢 美剧 越狱 看后 发现 好多 桥段 这部 片子 这部 电影 被誉为 电影史 作品 电影界 无冕之王 不看 相当于 看过 电影 强烈推荐
__label__nlike , 地方 落下 泪来
__label__like , 一部 梦想 电影
__label__nlike , 好片 解释
__label__nlike , 一般般
__label__nlike , 确实 经典
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 好看
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__nlike , 
__label__nlike , 希望 事情 希望
__label__like , 开创 越狱 潮流
__label__like , 当年 镇住
__label__nlike , 男人 触动
__label__like , 
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 老电影 飘荡 香醇 味道 想要 一看再看
__label__like , 想象 好看
__label__like , hope good thing things good thing dies 这片 没什么
__label__like , 做点 一点 希望 美好 东西 也许 美好 东西 恐惧 沦为 囚犯 希望 重获 自由
__label__like , 大一 经典
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 大智大勇
__label__nlike , 确实 经典
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 喜欢 摩根 弗里
__label__like , 好像 這個 開始 越獄 這兩部片 愛上
__label__like , 希望 自由
__label__like , 人生 一场 救赎
__label__nlike , 喜欢 摩根 弗里
__label__like , 上帝 放弃
__label__nlike , 男人 触动
__label__like , 评分
__label__nlike , 确实 经典
__label__like , 陆陆续续 片断 终于 完整 一遍 喜欢
__label__nlike , 信念
__label__like , Hope good thing things And good thing dies
__label__like , 希望 美好 世间 美好 东西
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , 好评 不差
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 明修栈道 暗渡陈仓
__label__like , 越狱 技术含量
__label__like , 平凡 人生 平凡
__label__nlike , 地方 落下 泪来
__label__like , 心目 高估 电影
__label__nlike , 经典 复制
__label__like , 不厌 电影 系列 感触
__label__like , 好看 电影 时间 流逝
__label__like , 不错
__label__like , 蒂姆 罗宾斯 真的
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
